id_indikator,nama_indikator,kategori,kelompok,arah_pembangunan,arah_baik_heuristik,kata_kunci,alasan_heuristik,arah_baik_verifikasi,status_verifikasi,catatan_verifikator
ISV-01,GNI per kapita,ISV,Peningkatan Pendapatan per Kapita,,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
ISV-02,Kontribusi PDB Maritim(%),ISV,Peningkatan Pendapatan per Kapita,,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
ISV-03,Kontribusi PDB industri Manufaktur(%),ISV,Peningkatan Pendapatan per Kapita,,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
ISV-04,Persentase Penduduk yang Hidup di Bawah Garis Kemiskinan Nasional,ISV,Pengentasan Kemiskinan dan Ketimpangan,,TURUN,kemiskinan,kemiskinan membaik ketika menurun,,PERLU_VERIFIKASI,
ISV-05,Rasio gini,ISV,Pengentasan Kemiskinan dan Ketimpangan,,TURUN,rasio\s+gini|ketimpangan,ketimpangan membaik ketika menurun,,PERLU_VERIFIKASI,
ISV-06,Kontribusi PDRB KTI,ISV,Pengentasan Kemiskinan dan Ketimpangan,,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
ISV-07,Global Power Index,ISV,Kepemimpinan dan Pengaruh di Dunia Internasional Meningkat,,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
ISV-08,Indeks Modal Manusia,ISV,Daya saing sumber daya manusia meningkat,,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
ISV-09,intensitas emisi GRK,ISV,Penurunan Emisi GRK menuju net zero emission,,TURUN,intensitas\s+emisi|emisi\s+grk,intensitas/emisi membaik ketika menurun,,PERLU_VERIFIKASI,
ISV-10,Indeks Kualitas Lingkungan Hidup,ISV,Penurunan Emisi GRK menuju net zero emission,,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-01,Usia Harapan Hidup,IUP,Transformasi Sosial,Kesehatan untuk Semua,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-02,Kesehatan Ibu dan Anak: Angka Kematian Ibu,IUP,Transformasi Sosial,Kesehatan untuk Semua,TURUN,kematian|mortalitas,kematian membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-03,Kesehatan Ibu dan Anak: Prevalensi stunting (pendek dan sangat pendek) pada balita,IUP,Transformasi Sosial,Kesehatan untuk Semua,TURUN,stunting|prevalensi|insidensi,prevalensi/insidensi umumnya membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-04,Insidensi Tuberkulosis (per 100.000 penduduk),IUP,Transformasi Sosial,Kesehatan untuk Semua,TURUN,stunting|prevalensi|insidensi,prevalensi/insidensi umumnya membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-05,Persentase Penduduk yang Memiliki Jaminan Kesehatan Nasional (JKN),IUP,Transformasi Sosial,Kesehatan untuk Semua,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-06,Rata-rata Nilai Pembelajaran,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-07,Hasil Pembelajaran: Rata-rata nilai PISA - Matematika,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-08,Hasil Pembelajaran: Rata-rata nilai PISA - Sains,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-09,Hasil Pembelajaran: Rata-rata nilai asesmen nasional Literasi - Membaca,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-10,Hasil Pembelajaran: Rata-rata nilai asesmen nasional Literasi - Numerasi,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-11,Hasil Pembelajaran: Rata-rata lama sekolah penduduk usia di atas 15 tahun (tahun),IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-12,Hasil Pembelajaran: Harapan lama sekolah,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-13,APK Perguruan Tinggi,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-14,Persentase pekerja lulusan pendidikan menengah dan tinggi yang bekerja di bidang keahlian menengah tinggi,IUP,Transformasi Sosial,Pendidikan Berkualitas yang Merata,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-15,Persentase Penduduk yang Hidup di Bawah Garis Kemiskinan Nasional,IUP,Transformasi Sosial,Perlindungan Sosial yang Adaptif,TURUN,kemiskinan,kemiskinan membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-16,Cakupan kepesertaan jaminan sosial ketenagakerjaan,IUP,Transformasi Sosial,Perlindungan Sosial yang Adaptif,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
